kic,prot,teff
4279048,36.295,3831
4279354,18.212,4172
4280515,26.954,3940
4281425,15.899,3802
4282716,11.867,4223
4283417,13.412,3993
4283965,32.857,3530
4284371,12.867,4236
4345222,15.235,4309
4345276,35.56,4265
4346765,39.087,3529
4346809,48.324,3344
4349043,2.648,4343
4349469,28.105,3577
4349785,23.888,3687
4349935,34.313,4298
4350046,2.975,4216
4350158,19.838,4224
4351296,31.258,4248
4351367,11.321,4102
4351676,19.575,4389
4354858,12.807,4346
4355120,42.959,3544
4355503,5.454,3579
4356597,26.145,3863
4357520,17.096,3742
4359244,20.234,4093
4359838,27.27,4363
4367215,25.65,3932
4370481,13.55,4360
4370853,33.527,3858
4370970,36.662,3649
4378621,17.797,3573
4381324,19.944,3515
4381741,35.085,3886
4381911,39.684,4200
4382579,40.336,4241
4383096,31.492,4092
4383248,22.149,3846
4383431,15.825,3970
4384167,14.147,4039
4386137,19.611,3512
4386313,16.944,3927
4386382,14.161,4295
4387448,19.608,3920
4443484,20.213,4111
4443489,14.366,3924
4446004,13.09,4306
4447240,21.991,4203
4449377,38.262,4277
4450799,16.871,4323
4451434,31.117,4397
4451916,44.59,4359
4455167,11.91,4319
4455561,14.848,4365
4455709,11.982,4356
4456286,14.305,4193
4456519,15.925,4185
4456788,20.317,4097
4457582,24.894,4118
4457606,24.131,4160
4458155,16.526,3404
4466333,26.653,4319
4466498,12.471,4268
4471619,12.878,4282
4471741,40.08,3867
4471819,14.923,3968
4471850,25.9,4375
4472239,20.458,4106
4473355,0.204,3883
4473475,37.892,3439
4473525,25.293,4293
4474200,37.053,4208
4474292,17.222,3866
4476546,42.852,3347
4477735,38.844,4310
4479073,10.796,4217
4480250,27.504,4037
4480475,28.342,4153
4480783,11.329,4063
4482203,39.584,3747
4483841,33.763,3666
4484814,24.877,4163
4488006,28.403,3341
4489051,33.792,3575
4489414,36.272,3723
4540508,21.996,3732
4543236,45.898,3543
4543619,30.654,4258
4544623,3.506,3629
4544783,46.464,3428
4545145,24.315,4204
4545410,22.878,4183
4545964,16.708,3888
4546642,17.416,3918
4547380,29.544,3981
4547416,15.348,3997
4548647,17.827,4075
4551390,44.577,4085
4551429,35.422,3541
4552478,26.128,4092
4553205,41.398,3351
4553286,18.358,4211
4553972,22.003,4297
4554031,20.207,4165
4554367,16.493,3950
4557336,17.392,4350
4557653,36.034,4342
4562228,19.338,3893
4562244,19.968,3974
4566051,20.993,4356
4566277,26.149,3963
4567431,21.046,4112
4569063,40.193,4196
4569115,19.24,3675
4569334,28.883,4333
4569690,33.553,4402
4570311,32.466,4174
4570633,12.25,4104
4571091,19.54,3647
4574081,28.128,4244
4574202,14.706,4061
4574211,33.834,4142
4574656,37.468,4339
4576686,31.529,4387
4576715,41.032,4271
4577094,9.844,4309
4577963,23.773,4234
4579228,41.477,3918
4579434,43.682,4040
4581344,18.862,3840
4581413,10.92,4251
4585515,18.716,4251
4586745,26.06,4362
4633585,37.174,3776
4636485,11.573,4115
4636938,0.48,4122
4637644,29.215,4203
4639615,27.488,3756
4640084,31.464,3935
4641091,21.405,4342
4641097,29.014,3510
4641447,42.352,4287
4644174,11.861,4022
4645733,15.688,3775
4646578,28.627,4361
4647381,29.89,3901
4648234,15.774,3727
4649625,32.275,4323
4651014,13.324,4393
4651273,16.645,3889
4655612,42.492,3934
4658549,11.517,4208
4659530,17.834,4260
